date,region,flat_price
2006-01-01,Outer London,183369.0
2006-01-01,Inner London,261557.0
2006-01-01,South East,136841.0
2006-01-01,London,222515.0
2006-02-01,Inner London,262692.0
2006-02-01,Outer London,184350.0
2006-02-01,South East,138973.0
2006-02-01,London,222711.0
2006-03-01,Outer London,183977.0
2006-03-01,Inner London,263877.0
2006-03-01,London,224509.0
2006-03-01,South East,138519.0
2006-04-01,Inner London,267149.0
2006-04-01,Outer London,184950.0
2006-04-01,London,228601.0
2006-04-01,South East,139800.0
2006-05-01,Inner London,272083.0
2006-05-01,Outer London,186036.0
2006-05-01,London,231261.0
2006-05-01,South East,142691.0
2006-06-01,Inner London,276815.0
2006-06-01,Outer London,188247.0
2006-06-01,London,234659.0
2006-06-01,South East,143692.0
2006-07-01,Outer London,189613.0
2006-07-01,Inner London,280103.0
2006-07-01,London,235360.0
2006-07-01,South East,143065.0
2006-08-01,Outer London,191149.0
2006-08-01,Inner London,283620.0
2006-08-01,South East,143957.0
2006-08-01,London,238620.0
2006-09-01,Outer London,192586.0
2006-09-01,Inner London,285582.0
2006-09-01,London,239759.0
2006-09-01,South East,145062.0
2006-10-01,Inner London,288385.0
2006-10-01,Outer London,194061.0
2006-10-01,London,241649.0
2006-10-01,South East,145885.0
2006-11-01,Outer London,194793.0
2006-11-01,Inner London,288583.0
2006-11-01,South East,146346.0
2006-11-01,London,240141.0
2006-12-01,Inner London,291751.0
2006-12-01,Outer London,196526.0
2006-12-01,London,246983.0
2006-12-01,South East,150073.0
2007-01-01,Outer London,198010.0
2007-01-01,Inner London,295976.0
2007-01-01,South East,149087.0
2007-01-01,London,249842.0
2007-02-01,Inner London,302509.0
2007-02-01,Outer London,201036.0
2007-02-01,London,254179.0
2007-02-01,South East,150540.0
2007-03-01,Inner London,307630.0
2007-03-01,Outer London,202091.0
2007-03-01,London,255550.0
2007-03-01,South East,149962.0
2007-04-01,Inner London,312430.0
2007-04-01,Outer London,204477.0
2007-04-01,South East,153107.0
2007-04-01,London,260296.0
2007-05-01,Outer London,206664.0
2007-05-01,Inner London,318272.0
2007-05-01,London,265616.0
2007-05-01,South East,157402.0
2007-06-01,Outer London,209530.0
2007-06-01,Inner London,324346.0
2007-06-01,London,268487.0
2007-06-01,South East,157725.0
2007-07-01,Inner London,332078.0
2007-07-01,Outer London,213174.0
